repository,platforms,category,status,days_since_active,is_private,last_active_at,committed_at,latest_pr,url
"htazq/fenghuoyi-card-game","github","脚本","active",1,true,"2026-05-19T06:52:24Z","2026-05-19T06:52:19Z","feat: implement Fenghuoyi classic and enhanced playable prototype","https://github.com/htazq/fenghuoyi-card-game"
"eleaivideo/astro-yuanyuan","cnb","脚本","active",1,true,"2026-05-19T05:06:02Z","","","https://cnb.cool/eleaivideo/Astro-yuanyuan"
"htazq/htazq","github","其他","active",1,false,"2026-05-18T19:46:06Z","2026-05-18T19:46:00Z","","https://github.com/htazq/htazq"
"htazq/mt5-strategy-lab","github","金融","active",3,true,"2026-05-16T16:28:51Z","2026-05-16T16:28:39Z","","https://github.com/htazq/mt5-strategy-lab"
"htazq/card_game","cnb","脚本","active",4,true,"2026-05-15T16:25:56Z","","","https://cnb.cool/htazq/card_game"
"htazq/xy-doc","github","网站","active",5,true,"2026-05-15T01:36:19Z","2026-05-15T01:36:00Z","","https://github.com/htazq/xy-doc"
"htazq/money-den","github","金融","active",6,true,"2026-05-14T08:06:24Z","2026-05-14T08:06:24Z","","https://github.com/htazq/money-den"
"htazq/comfyui_cloud","cnb","其他","active",6,false,"2026-05-13T15:24:12Z","","","https://cnb.cool/htazq/ComfyUI_Cloud"
"htazq/comfyui-yi_dian_tong","cnb","其他","active",6,false,"2026-05-13T15:18:02Z","","","https://cnb.cool/htazq/ComfyUI-yi_dian_tong"
"eleaivideo/comfyui","cnb","AI","active",6,false,"2026-05-13T15:14:33Z","","","https://cnb.cool/eleaivideo/ComfyUI"
"htazq/aifs_perf_harness","github","其他","active",8,true,"2026-05-12T07:08:46Z","2026-05-12T07:08:36Z","","https://github.com/htazq/aifs_perf_harness"
"htazq/paio-autotrader","github","金融","active",8,true,"2026-05-12T03:44:36Z","2026-05-12T03:44:23Z","Add Brooks BOPB and failed breakout research","https://github.com/htazq/paio-autotrader"
"htazq/ibkr-auto-arb","github","金融","watch",22,true,"2026-04-28T06:52:08Z","2026-04-28T06:52:06Z","","https://github.com/htazq/ibkr-auto-arb"
"htazq/brooks-es5m-rule-lab","github","其他","watch",26,true,"2026-04-24T08:11:36Z","2026-04-24T08:11:23Z","Feat/automation audit orchestration vision","https://github.com/htazq/brooks-es5m-rule-lab"
"eleaivideo/my-secrets","cnb","其他","watch",27,false,"2026-04-23T01:07:01Z","","","https://cnb.cool/eleaivideo/my-secrets"
"htazq/polymarket","github","金融","watch",27,true,"2026-04-22T11:07:15Z","2026-04-22T11:01:35Z","","https://github.com/htazq/polymarket"
"htazq/Astro-yuanyuan","github","脚本","watch",27,true,"2026-04-22T09:27:37Z","2026-04-22T09:27:30Z","","https://github.com/htazq/Astro-yuanyuan"
"htazq/vllm","cnb","AI","watch",31,false,"2026-04-18T09:27:34Z","","","https://cnb.cool/htazq/vllm"
"htazq/a2a-forge","cnb","脚本","watch",32,false,"2026-04-18T08:45:48Z","","","https://cnb.cool/htazq/a2a-forge"
"htazq/my-agent","cnb","AI","watch",32,false,"2026-04-18T08:02:40Z","","","https://cnb.cool/htazq/my-agent"
"htazq/tuyaya","cnb","脚本","watch",32,true,"2026-04-18T06:25:44Z","","","https://cnb.cool/htazq/tuyaya"
"htazq/knowledge","cnb","网站","watch",34,true,"2026-04-15T10:48:01Z","","","https://cnb.cool/htazq/knowledge"
